модифицирована A:\\$RECYCLE.BIN | 15:16:15 13-06-2022
модифицирована C:\\Users | 15:25:03 13-06-2022
модифицирована C:\\Program Files (x86) | 15:25:17 13-06-2022
модифицирована C:\\Python 3.8 | 01:28:07 14-06-2022
модифицирована C:\\Windows | 01:32:11 14-06-2022
модифицирована C:\\CFLog | 01:32:18 14-06-2022
модифицирована C:\\Program Files | 01:44:29 14-06-2022
модифицирована A:\\Origin | 01:50:21 14-06-2022
модифицирована A:\\System Volume Information | 01:53:26 14-06-2022
модифицирована C:\\$Recycle.Bin | 02:01:52 14-06-2022
модифицирована A:\\$RECYCLE.BIN | 02:01:52 14-06-2022
модифицирована E:\\Листы строгой отчетности Научно-исследовательская работа.doc - Ярлык.lnk | 02:02:17 14-06-2022
модифицирована E:\\ДЛЯ ПРОВЕРКИ | 02:02:20 14-06-2022
модифицирована C:\\System Volume Information | 02:03:17 14-06-2022
модифицирована C:\\Boot | 02:03:17 14-06-2022
модифицирована D:\\boot | 02:03:17 14-06-2022
модифицирована A:\\Epic Games | 02:05:20 14-06-2022
модифицирована C:\\ProgramData | 02:16:39 14-06-2022
модифицирована C:\\Program Files (x86) | 02:21:55 14-06-2022
модифицирована C:\\Users | 02:25:22 14-06-2022
модифицирована C:\\Python 3.9.7 | 02:29:20 14-06-2022
модифицирована C:\\Python 3.8 | 02:29:20 14-06-2022
модифицирована C:\\Windows | 02:32:30 14-06-2022
модифицирована C:\\MAMPPRO | 23:54:49 14-06-2022
модифицирована A:\\Riot Games | 23:54:49 14-06-2022
модифицирована C:\\Windows10Upgrade | 23:54:49 14-06-2022
модифицирована A:\\WindowsApps | 00:00:15 15-06-2022
модифицирована C:\\Users | 00:06:29 15-06-2022
модифицирована C:\\Windows | 00:06:29 15-06-2022
модифицирована C:\\Program Files | 00:06:29 15-06-2022
модифицирована C:\\Program Files (x86) | 00:07:51 15-06-2022
модифицирована C:\\swapfile.sys | 13:01:56 15-06-2022
модифицирована C:\\swapfile.sys | 13:01:56 15-06-2022
модифицирована A:\\WindowsApps | 13:19:13 15-06-2022
модифицирована A:\\Ubisoft Game Launcher | 13:19:26 15-06-2022
модифицирована A:\\System Volume Information | 13:20:19 15-06-2022
модифицирована C:\\Python 3.9.7 | 13:24:14 15-06-2022
модифицирована A:\\Origin | 13:24:14 15-06-2022
модифицирована C:\\pagefile.sys | 13:35:11 15-06-2022
модифицирована C:\\pagefile.sys | 13:35:11 15-06-2022
модифицирована C:\\pagefile.sys | 13:48:51 15-06-2022
модифицирована C:\\pagefile.sys | 13:53:55 15-06-2022
модифицирована C:\\Users | 13:56:06 15-06-2022
модифицирована C:\\Windows | 13:56:13 15-06-2022
модифицирована C:\\Program Files (x86) | 13:56:21 15-06-2022
модифицирована C:\\pagefile.sys | 14:00:18 15-06-2022
модифицирована A:\\Riot Games | 14:00:27 15-06-2022
модифицирована C:\\Program Files | 14:00:49 15-06-2022
модифицирована C:\\Program Files | 14:00:50 15-06-2022
модифицирована C:\\ProgramData | 14:00:51 15-06-2022
модифицирована A:\\Epic Games | 14:02:26 15-06-2022
модифицирована C:\\pagefile.sys | 14:02:34 15-06-2022
модифицирована C:\\pagefile.sys | 14:02:34 15-06-2022
модифицирована C:\\pagefile.sys | 14:02:45 15-06-2022
модифицирована C:\\pagefile.sys | 14:02:49 15-06-2022
модифицирована C:\\pagefile.sys | 14:03:04 15-06-2022
модифицирована C:\\pagefile.sys | 14:03:19 15-06-2022
модифицирована C:\\pagefile.sys | 14:03:42 15-06-2022
модифицирована C:\\pagefile.sys | 14:05:20 15-06-2022
модифицирована C:\\pagefile.sys | 14:05:20 15-06-2022
модифицирована C:\\pagefile.sys | 14:06:54 15-06-2022
модифицирована C:\\pagefile.sys | 14:09:05 15-06-2022
модифицирована C:\\pagefile.sys | 14:09:05 15-06-2022
модифицирована C:\\pagefile.sys | 14:15:15 15-06-2022
модифицирована C:\\System Volume Information | 14:15:15 15-06-2022
модифицирована C:\\Boot | 14:15:15 15-06-2022
модифицирована D:\\boot | 14:15:15 15-06-2022
модифицирована C:\\PycharmProjects | 14:19:45 15-06-2022
модифицирована C:\\pagefile.sys | 14:38:14 15-06-2022
модифицирована C:\\pagefile.sys | 14:38:15 15-06-2022
модифицирована C:\\pagefile.sys | 14:39:02 15-06-2022
модифицирована C:\\pagefile.sys | 14:46:13 15-06-2022
модифицирована C:\\pagefile.sys | 14:48:04 15-06-2022
модифицирована A:\\Origin | 14:48:25 15-06-2022
модифицирована C:\\pagefile.sys | 14:48:25 15-06-2022
модифицирована C:\\pagefile.sys | 14:48:27 15-06-2022
модифицирована C:\\pagefile.sys | 14:48:27 15-06-2022
модифицирована C:\\pagefile.sys | 14:48:27 15-06-2022
модифицирована C:\\pagefile.sys | 14:48:40 15-06-2022
модифицирована C:\\Python 3.9.7 | 14:52:14 15-06-2022
модифицирована A:\\Origin | 14:52:27 15-06-2022
модифицирована A:\\Origin | 14:52:27 15-06-2022
модифицирована C:\\pagefile.sys | 14:52:44 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:07 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:20 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:20 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:20 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:20 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:20 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:21 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:22 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:22 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:22 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:22 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:22 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:22 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:24 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:24 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:36 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:36 15-06-2022
модифицирована C:\\pagefile.sys | 14:53:55 15-06-2022
модифицирована C:\\pagefile.sys | 14:54:02 15-06-2022
модифицирована C:\\Users | 14:56:12 15-06-2022
модифицирована C:\\Windows | 14:56:13 15-06-2022
модифицирована C:\\Program Files (x86) | 14:56:24 15-06-2022
модифицирована C:\\$Recycle.Bin | 14:57:58 15-06-2022
модифицирована C:\\pagefile.sys | 14:59:32 15-06-2022
модифицирована C:\\Python 3.8 | 19:41:11 15-06-2022
модифицирована C:\\ProgramData | 19:52:29 15-06-2022
модифицирована C:\\PycharmProjects | 20:00:59 15-06-2022
модифицирована A:\\Origin | 20:13:39 15-06-2022
модифицирована A:\\Epic Games | 20:15:12 15-06-2022
модифицирована C:\\Program Files (x86) | 20:17:36 15-06-2022
модифицирована C:\\Users | 20:26:13 15-06-2022
модифицирована C:\\Windows | 20:31:13 15-06-2022
модифицирована C:\\swapfile.sys | 20:56:02 15-06-2022
модифицирована C:\\swapfile.sys | 20:56:02 15-06-2022
модифицирована C:\\Program Files | 21:00:58 15-06-2022
модифицирована A:\\Origin | 21:17:03 15-06-2022
модифицирована C:\\Program Files (x86) | 21:17:41 15-06-2022
модифицирована C:\\ProgramData | 21:23:47 15-06-2022
модифицирована A:\\WindowsApps | 21:24:20 15-06-2022
модифицирована C:\\Users | 21:26:13 15-06-2022
модифицирована C:\\Windows | 21:31:31 15-06-2022
модифицирована C:\\Program Files | 22:00:58 15-06-2022
модифицирована C:\\pagefile.sys | 22:04:38 15-06-2022
модифицирована C:\\pagefile.sys | 22:04:38 15-06-2022
модифицирована C:\\Program Files (x86) | 22:17:46 15-06-2022
модифицирована C:\\Users | 22:26:13 15-06-2022
модифицирована A:\\Origin | 22:26:26 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:36 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:36 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:36 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:36 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:38 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:39 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:39 15-06-2022
модифицирована C:\\pagefile.sys | 22:26:39 15-06-2022
модифицирована C:\\Windows | 22:32:54 15-06-2022
модифицирована C:\\pagefile.sys | 22:32:56 15-06-2022
модифицирована C:\\pagefile.sys | 22:32:56 15-06-2022
модифицирована C:\\pagefile.sys | 22:32:56 15-06-2022
модифицирована C:\\pagefile.sys | 22:32:57 15-06-2022
модифицирована C:\\pagefile.sys | 22:33:18 15-06-2022
модифицирована C:\\pagefile.sys | 22:33:18 15-06-2022
модифицирована C:\\pagefile.sys | 22:33:50 15-06-2022
модифицирована C:\\pagefile.sys | 22:33:50 15-06-2022
модифицирована C:\\pagefile.sys | 22:33:50 15-06-2022
модифицирована C:\\pagefile.sys | 22:34:11 15-06-2022
модифицирована C:\\pagefile.sys | 22:52:50 15-06-2022
модифицирована C:\\pagefile.sys | 22:52:50 15-06-2022
модифицирована C:\\pagefile.sys | 22:54:55 15-06-2022
модифицирована C:\\pagefile.sys | 22:56:13 15-06-2022
модифицирована C:\\pagefile.sys | 22:56:13 15-06-2022
модифицирована C:\\pagefile.sys | 22:58:41 15-06-2022
модифицирована C:\\pagefile.sys | 23:00:04 15-06-2022
модифицирована C:\\pagefile.sys | 23:00:04 15-06-2022
модифицирована C:\\pagefile.sys | 23:00:04 15-06-2022
модифицирована C:\\pagefile.sys | 23:00:04 15-06-2022
модифицирована C:\\pagefile.sys | 23:00:04 15-06-2022
модифицирована C:\\pagefile.sys | 23:00:04 15-06-2022
модифицирована C:\\pagefile.sys | 23:00:04 15-06-2022
модифицирована C:\\ProgramData | 23:00:15 15-06-2022
модифицирована C:\\Program Files | 23:00:59 15-06-2022
модифицирована C:\\pagefile.sys | 23:10:55 15-06-2022
модифицирована C:\\pagefile.sys | 23:11:48 15-06-2022
модифицирована C:\\pagefile.sys | 23:11:48 15-06-2022
модифицирована C:\\Program Files (x86) | 23:17:51 15-06-2022
модифицирована C:\\pagefile.sys | 23:23:41 15-06-2022
модифицирована C:\\pagefile.sys | 23:23:42 15-06-2022
модифицирована C:\\pagefile.sys | 23:23:43 15-06-2022
модифицирована C:\\pagefile.sys | 23:23:44 15-06-2022
модифицирована C:\\pagefile.sys | 23:23:47 15-06-2022
модифицирована C:\\pagefile.sys | 23:24:05 15-06-2022
модифицирована C:\\pagefile.sys | 23:24:06 15-06-2022
модифицирована C:\\Users | 23:26:21 15-06-2022
модифицирована C:\\Windows | 23:33:10 15-06-2022
модифицирована C:\\pagefile.sys | 23:36:05 15-06-2022
модифицирована C:\\pagefile.sys | 23:37:48 15-06-2022
модифицирована C:\\pagefile.sys | 23:37:48 15-06-2022
модифицирована C:\\pagefile.sys | 23:39:17 15-06-2022
модифицирована C:\\pagefile.sys | 23:41:13 15-06-2022
модифицирована C:\\pagefile.sys | 23:41:13 15-06-2022
модифицирована C:\\pagefile.sys | 23:41:30 15-06-2022
модифицирована A:\\Origin | 23:41:44 15-06-2022
модифицирована C:\\pagefile.sys | 23:41:44 15-06-2022
модифицирована C:\\pagefile.sys | 23:41:44 15-06-2022
модифицирована C:\\pagefile.sys | 23:41:44 15-06-2022
модифицирована C:\\pagefile.sys | 23:44:56 15-06-2022
модифицирована C:\\pagefile.sys | 23:44:57 15-06-2022
модифицирована C:\\PycharmProjects | 23:53:19 15-06-2022
модифицирована C:\\Python 3.9.7 | 23:53:36 15-06-2022
модифицирована C:\\Python 3.8 | 23:53:36 15-06-2022
модифицирована A:\\WindowsApps | 23:53:45 15-06-2022
модифицирована C:\\Program Files | 00:01:46 16-06-2022
модифицирована C:\\Program Files (x86) | 00:17:56 16-06-2022
модифицирована C:\\Users | 00:26:22 16-06-2022
модифицирована C:\\Windows | 00:33:10 16-06-2022
модифицирована A:\\Origin | 00:59:56 16-06-2022
модифицирована C:\\Python 3.9.7 | 00:59:56 16-06-2022
модифицирована C:\\PycharmProjects | 00:59:59 16-06-2022
модифицирована A:\\Ubisoft Game Launcher | 11:37:29 16-06-2022
модифицирована C:\\$GetCurrent | 11:48:14 16-06-2022
модифицирована C:\\$GetCurrent | 11:48:14 16-06-2022
модифицирована C:\\$Recycle.Bin | 11:48:14 16-06-2022
модифицирована C:\\$SysReset | 11:48:14 16-06-2022
модифицирована C:\\$SysReset | 11:48:14 16-06-2022
модифицирована C:\\$WINDOWS.~BT | 11:48:14 16-06-2022
модифицирована C:\\$Windows.~WS | 11:48:14 16-06-2022
модифицирована C:\\$WinREAgent | 11:48:14 16-06-2022
модифицирована C:\\82ace7d6-0197-474d-bf4b-a2043e72329b | 11:48:14 16-06-2022
модифицирована C:\\Boot | 11:48:14 16-06-2022
модифицирована C:\\CFLog | 11:48:14 16-06-2022
модифицирована C:\\CHAT | 11:48:14 16-06-2022
модифицирована C:\\comments | 11:48:14 16-06-2022
модифицирована C:\\Crash | 11:48:14 16-06-2022
модифицирована C:\\ESD | 11:48:14 16-06-2022
модифицирована C:\\hp | 11:48:14 16-06-2022
модифицирована C:\\inetpub | 11:48:15 16-06-2022
модифицирована C:\\Intel | 11:48:15 16-06-2022
модифицирована C:\\MAMP | 11:48:15 16-06-2022
модифицирована C:\\MAMPPRO | 11:48:18 16-06-2022
модифицирована C:\\MSI | 11:48:18 16-06-2022
модифицирована C:\\My Documents | 11:48:18 16-06-2022
модифицирована C:\\My Documents | 11:48:18 16-06-2022
модифицирована C:\\OneDriveTemp | 11:48:24 16-06-2022
модифицирована C:\\PABCWork.NET | 11:48:24 16-06-2022
модифицирована C:\\Users | 11:48:30 16-06-2022
модифицирована C:\\Program Files | 11:48:36 16-06-2022
модифицирована C:\\Windows | 11:48:54 16-06-2022
модифицирована C:\\Program Files (x86) | 11:48:54 16-06-2022
модифицирована A:\\$RECYCLE.BIN | 12:13:13 16-06-2022
модифицирована A:\\Epic Games | 12:13:16 16-06-2022
модифицирована A:\\GamesMailRu | 12:13:17 16-06-2022
модифицирована A:\\msdownld.tmp | 12:13:18 16-06-2022
модифицирована A:\\Origin DownloadCache | 12:13:19 16-06-2022
модифицирована A:\\Program Files | 12:13:19 16-06-2022
модифицирована C:\\pagefile.sys | 12:31:06 16-06-2022
модифицирована C:\\pagefile.sys | 12:31:06 16-06-2022
модифицирована A:\\Origin | 12:32:06 16-06-2022
модифицирована C:\\PycharmProjects | 12:32:08 16-06-2022
модифицирована C:\\Python 3.9.7 | 12:32:30 16-06-2022
модифицирована A:\\Riot Games | 12:32:53 16-06-2022
модифицирована A:\\Windows10Upgrade | 12:32:55 16-06-2022
модифицирована A:\\World of Warcraft | 12:32:55 16-06-2022
модифицирована A:\\WpSystem | 12:32:55 16-06-2022
модифицирована A:\\WUDownloadCache | 12:32:55 16-06-2022
модифицирована A:\\Zona | 12:32:55 16-06-2022
модифицирована A:\\Zona Downloads | 12:32:56 16-06-2022
модифицирована C:\\ProgramData | 12:33:08 16-06-2022
модифицирована C:\\Python | 12:33:52 16-06-2022
